R_a_m,d_sb_fl_m,theta_deg,L_ml_m,T0_mn,K_ml_mn_per_m,diameter_m,wall_thickness_mm,embedded_length_m,started_passing,uls_mudline_utilization,uls_fairlead_utilization,sls_utilization,nfa_utilization,fls_utilization,buckling_utilization,mooring_uls_utilization,slack_utilization,governing_constraint,steel_mass_t,total_capex_usd
37.5,22.5,30.96375653207352,43.73213921133976,7.601607058386256,4.630461798847739,9.249999999999998,158.90909090909096,50.0,True,0.2467856603780866,0.21884235390137424,0.08854197783689052,0.7917952771891145,0.9754974927937418,0.9752722258258646,0.901460649243141,0.050837290429535754,FLS,1781.370588435952,4699943.994615671
37.5,28.333333333333332,37.0730733173104,47.00029550734524,7.572718809488651,4.308483549180092,9.249999999999998,158.90909090909096,50.0,True,0.24626089239503177,0.21130827892549076,0.08834210535680802,0.791490433538016,0.9693079931583108,0.9757647541555254,0.9018351265436654,0.05106060420844718,Buckling,1781.370588435952,4702255.334230884
37.5,34.166666666666664,42.33699923393285,50.73077085074808,7.548810579096379,3.991660221283902,9.249999999999998,158.90909090909096,50.0,True,0.24576131321248917,0.20377480856490252,0.08815826003540511,0.7911358168322241,0.9634287756949508,0.9761117347843031,0.9021450480487505,0.051248218102993216,Buckling,1781.370588435952,4704893.639949407
37.5,40.0,46.8476102659946,54.82928049865327,7.529885542558057,3.693282095959181,9.249999999999998,158.90909090909096,50.0,True,0.24532028551061505,0.19624201245075756,0.08800061543169961,0.7907564313360126,0.9582503910003438,0.9763654107193678,0.9023903725964696,0.051398560946317375,Buckling,1781.370588435952,4707792.23073104
37.5,45.83333333333333,50.710593137499636,59.21946001479956,7.5153592696147715,3.419484067389219,9.249999999999998,158.90909090909096,50.0,True,0.2449494596176663,0.18870997132540418,0.08787154914121464,0.7903712706349755,0.953904688588434,0.9765606667922212,0.9025786761346234,0.05151507668560706,Buckling,1781.370588435952,4710897.099321923
37.5,51.666666666666664,54.027612950715096,63.84116575098268,7.504472621387394,3.171934560059048,9.249999999999998,158.90909090909096,50.0,True,0.24464758528050187,0.18117877934901044,0.0877691899668336,0.7899928246530211,0.9503720813908455,0.97671914336988,0.9027197993523856,0.05160304314987731,Buckling,1781.370588435952,4714165.710303275
37.5,57.5,56.88865803962798,68.6476510887299,7.496495800078729,2.9498460149533807,9.249999999999998,158.90909090909096,50.0,True,0.2444073935057707,0.17364854700518206,0.0876899356895389,0.7896284466334548,0.9475637516566595,0.9768538364415311,0.9028232025915721,0.05166785140152173,Buckling,1781.370588435952,4717565.003043544
37.5,63.33333333333333,59.370001515179304,73.60272488917181,7.490804457137398,2.7512568360059606,9.249999999999998,158.90909090909096,50.0,True,0.24421970341020985,0.16611940479509127,0.08762984856169866,0.7892819816677592,0.9453699269055108,0.9769724957067186,0.9028969792593301,0.05171427534669321,Buckling,1781.370588435952,4721069.382067662
37.5,69.16666666666666,61.534837857345146,78.67831834614779,7.486884817302994,2.5737713293399938,9.249999999999998,158.90909090909096,50.0,True,0.24407533992154828,0.15859150798132549,0.08758524125301335,0.7889550768240757,0.9436820289675881,0.9770796689008172,0.9029477894053316,0.05174633728802858,Buckling,1781.370588435952,4724658.9962615
37.5,75.0,63.43494882292201,83.85254915624212,7.484329785587894,2.4149534156997725,9.249999999999998,158.90909090909096,50.0,True,0.2439661113728252,0.15106504274635218,0.08755294784368724,0.7886480865018987,0.9424037186894204,0.9771780932571409,0.9029809101868235,0.05176727650157191,Buckling,1781.370588435952,4728318.369793985
45.833333333333336,22.5,26.146841235580894,51.05824560680131,7.61322944805003,3.9660587157547305,9.249999999999998,158.90909090909096,50.0,True,0.24685419272317316,0.21884235390137424,0.08857200826801762,0.7918217092909816,0.9763008422749397,0.9745778254747528,0.9013099886363884,0.05074847065693796,FLS,1781.370588435952,4705125.240065221
45.833333333333336,28.333333333333332,31.723602957684026,53.883877201090705,7.582637272507911,3.7580814618124965,9.249999999999998,158.90909090909096,50.0,True,0.24627505780469883,0.21130827892549076,0.08834805396101851,0.7914967611474985,0.9694737647041488,0.9749875022694587,0.9017065538748973,0.05098351896830009,Buckling,1781.370588435952,4707123.612740927
45.833333333333336,34.166666666666664,36.70285503016313,57.16690962047499,7.555063234293878,3.5422589981577786,9.249999999999998,158.90909090909096,50.0,True,0.24566770064184035,0.20377480856490252,0.08812007988138844,0.7910884082431981,0.9623361951665835,0.9752546011404799,0.9020639951110052,0.051198904073653045,Buckling,1781.370588435952,4709445.4732034225
45.833333333333336,40.0,41.11209043916693,60.833333333333336,7.531342220934685,3.328767123287671,9.249999999999998,158.90909090909096,50.0,True,0.2450800347667644,0.19624201245075756,0.08790469295779148,0.7906206789218096,0.9554545103537945,0.9754271933081852,0.9023714897286245,0.05138693067729687,Buckling,1781.370588435952,4712038.479659094
45.833333333333336,45.83333333333333,45.0,64.81812160876686,7.511606299638467,3.1241263241514736,9.249999999999998,158.90909090909096,50.0,True,0.24454219231296814,0.18870997132540418,0.08771155959891218,0.790117690153016,0.9491782799570354,0.9755421421445268,0.9026273257454274,0.05154533881481265,Buckling,1781.370588435952,4714856.643224436
45.833333333333336,51.666666666666664,48.42387124493068,69.06619208331156,7.495588272043982,2.9319699536313366,9.249999999999998,158.90909090909096,50.0,True,0.24406877617158665,0.18117877934901044,0.08754469654095258,0.7895996416161666,0.9436713277164516,0.9756246120474245,0.9028349668438742,0.05167524374548967,Buckling,1781.370588435952,4717861.007975299
45.833333333333336,57.5,51.441600099335034,73.53192806151927,7.482843013502902,2.753905756837788,9.249999999999998,158.90909090909096,50.0,True,0.24366354875817972,0.17364854700518206,0.08740439123405414,0.7890816695201819,0.938970238989278,0.9756904425908387,0.9030001831582958,0.0517794754113118,Buckling,1781.370588435952,4721019.3123960905
45.833333333333336,63.33333333333333,54.10733431225441,78.17803755247093,7.472880736699753,2.5902415350869816,9.149999999999999,158.90909090909096,50.0,True,0.2484858587311299,0.16986820009953768,0.08959288947015126,0.7945637299882883,0.9958813530371006,0.9661024752623459,0.9041194372065636,0.05192265178376066,FLS,1761.7759038568427,4681196.8763816245
45.833333333333336,69.16666666666666,56.4695303328669,82.97422625262752,7.465226645627328,2.4405168827179935,9.149999999999999,158.90909090909096,50.0,True,0.24818981157846753,0.16218695616224485,0.08949351618628441,0.7940451656810951,0.9923134036975495,0.9661517631776732,0.9042516674786967,0.05198825125042671,FLS,1761.7759038568427,4684588.887026358
45.833333333333336,75.0,58.57043438516149,87.89592962387079,7.45945835811887,2.303860950860289,9.149999999999999,158.90909090909096,50.0,True,0.24794854879990685,0.15450713056050827,0.08941415140312389,0.7935491650055184,0.9894091986382997,0.9662027291134354,0.904351630460545,0.05203790667056045,FLS,1761.7759038568427,4688069.665467152
54.16666666666667,22.5,22.557246634705653,58.65388118255925,7.623759427470286,3.452456954548703,9.249999999999998,158.90909090909096,50.0,True,0.24693674424442982,0.21884235390137424,0.08860818080984346,0.7918535620926531,0.9772690859096944,0.9740689794003478,0.901173488903163,0.05066849945412673,FLS,1781.370588435952,4710497.104755543
54.16666666666667,28.333333333333332,27.613027823084472,61.12941645031103,7.593369490837488,3.31264408788528,9.249999999999998,158.90909090909096,50.0,True,0.2463455213873523,0.21130827892549076,0.08837764407552595,0.7915282441750744,0.9702986421833234,0.9744119899104468,0.9015674325261808,0.05090059681461581,Buckling,1781.370588435952,4712247.878652191
54.16666666666667,34.166666666666664,32.24246783912332,64.04208685613617,7.5643399786848855,3.161983157339876,9.249999999999998,158.90909090909096,50.0,True,0.24568229605607378,0.20377480856490252,0.08812603269589793,0.7910957982842267,0.9625064892114672,0.9746121142665105,0.9019437410170479,0.05112606361466773,Buckling,1781.370588435952,4714307.807824878
54.16666666666667,40.0,36.44444175658711,67.33518974338587,7.537865094746861,3.007342828790216,9.249999999999998,158.90909090909096,50.0,True,0.24499627377791475,0.19624201245075756,0.08787125003669359,0.7905733907848611,0.9544810197344424,0.9747108375968393,0.9022869339569852,0.05133497088116361,Buckling,1781.370588435952,4716636.790428793
54.16666666666667,45.83333333333333,40.23635830927382,70.95577652469333,7.514540362083894,2.853890266841459,9.249999999999998,158.90909090909096,50.0,True,0.244326995427975,0.18870997132540418,0.0876270205657909,0.7899839175810085,0.9466871455487299,0.9747448173025709,0.9025892916026161,0.051521674350022514,Buckling,1781.370588435952,4719197.379611194
54.16666666666667,51.666666666666664,43.64680804622031,74.85634390098292,7.494523239579004,2.7051815443706304,9.249999999999998,158.90909090909096,50.0,True,0.24370143943497372,0.18117877934901044,0.08740222015187142,0.7893507187465428,0.9394350267630914,0.9747423680357382,0.9028487728202721,0.051683924037435346,Buckling,1781.370588435952,4721955.979592977
54.16666666666667,57.5,46.70981404414153,78.99542884102712,7.47769433618424,2.5634394669534277,9.149999999999999,158.90909090909096,50.0,True,0.2482873642814077,0.17755067829126944,0.08950061256829474,0.7946915185370851,0.9935321865281344,0.9650424995372243,0.9040338506148655,0.05188140027030184,FLS,1761.7759038568427,4681774.960382282
54.16666666666667,63.33333333333333,49.460848258516556,83.33749989583855,7.463783931920907,2.4298785091117403,9.149999999999999,158.90909090909096,50.0,True,0.24775908045333978,0.16986820009953768,0.08931489312720005,0.7939907311950164,0.987195803826355,0.9650040697444587,0.9042722755401151,0.05200038166206226,FLS,1761.7759038568427,4684845.805204887
54.16666666666667,69.16666666666666,51.93434890126956,87.852464709623,7.452448569207004,2.305000783635601,9.149999999999999,158.90909090909096,50.0,True,0.24730046351153304,0.16218695616224485,0.0891557427373419,0.7932965632668051,0.9817133738320143,0.9649713805619398,0.9044667144140763,0.05209808178470041,FLS,1761.7759038568427,4688038.925756725
54.16666666666667,75.0,54.16234704572171,92.5150137965605,7.443331923189849,2.1888339166796786,9.149999999999999,158.90909090909096,50.0,True,0.24690786635885123,0.15450713056050827,0.08902128107603234,0.792618649130911,0.9770332735376531,0.9649482537663948,0.9046232478738466,0.05217715199080864,FLS,1761.7759038568427,4691336.422399001
62.5,22.5,19.798876354524932,66.42665127793211,7.632824448688736,3.048475214454675,9.249999999999998,158.90909090909096,50.0,True,0.247017449013669,0.21884235390137424,0.08864354308207613,0.7918847167719743,0.9782162593758179,0.9736833126092237,0.9010559793688498,0.05060003164913965,FLS,1781.370588435952,4715994.244370112
62.5,28.333333333333332,24.386371101801387,68.62235625346726,7.603538500750445,2.9509333554801733,9.249999999999998,158.90909090909096,50.0,True,0.24643698798668093,0.21130827892549076,0.08841605341072438,0.7915691295561482,0.971370068932104,0.9739750643292795,0.9014356120273089,0.05082248973398788,Buckling,1781.370588435952,4717547.11376607
62.5,34.166666666666664,28.66395711028153,71.22928548786034,7.574392517050671,2.8429317887024466,9.249999999999998,158.90909090909096,50.0,True,0.24575376425057008,0.20377480856490252,0.08815518118843146,0.7911319928948716,0.9633406393808578,0.9741242607974169,0.9018134303345284,0.05104756581345712,Buckling,1781.370588435952,4719390.8134755585
62.5,40.0,32.61924307119283,74.20411039827916,7.546657744298557,2.7289593381432966,9.249999999999998,158.90909090909096,50.0,True,0.2450112515437129,0.19624201245075756,0.08787723017026726,0.7905818450996078,0.9546550469832573,0.9741646239056174,0.9021729551665003,0.05126523821751157,Buckling,1781.370588435952,4721494.700205877
62.5,45.83333333333333,36.25383773744479,77.50448015724281,7.521160233788859,2.612752186572486,9.249999999999998,158.90909090909096,50.0,True,0.24425059543813374,0.18870997132540418,0.08759700690701305,0.7899364612360203,0.9458037745347112,0.9741300220866426,0.9025034784508852,0.05146842964784792,Buckling,1781.370588435952,4723828.822162673
